Date,Actual,ARIMA_LSTM_Predicted
2025-08-29,198.119995117188,199.15978381745026
2025-09-01,199.179992675781,199.18757807137126
2025-09-02,194.539993286133,199.14730713842152
2025-09-03,195.380004882812,199.22107742087286
2025-09-04,196.899993896484,199.12657030921395
2025-09-05,195.559997558594,197.15333201190498
2025-09-08,197.220001220703,197.18057748081014
2025-09-09,196.440002441406,197.02503246319168
2025-09-10,195.800003051758,197.19863803582754
2025-09-11,196.399993896484,196.99074296583447
2025-09-12,196.300003051758,196.51252941896698
2025-09-15,196.779998779297,196.52568920943128
2025-09-16,193.300003051758,196.4419387636448
2025-09-17,193.580001831055,196.60029009617907
2025-09-18,196.240005493164,196.4043032815204
2025-09-19,195.820007324219,196.39283340620844
2025-09-22,194.860000610352,196.41232104671892
2025-09-23,195.759994506836,196.289267772872
2025-09-24,196.080001831055,196.50715060017376
2025-09-25,194.979995727539,196.26587684555844
2025-09-26,196.660003662109,195.15615240276787
2025-09-29,196.679992675781,195.07951877154983
2025-09-30,197.559997558594,195.05090998077804
2025-10-01,199.839996337891,195.15178574972268
2025-10-02,202.300003051758,194.93207409619887
2025-10-03,201.899993896484,202.25398273712463
2025-10-06,201.949996948242,202.32304448743488
2025-10-07,202.050003051758,202.29306219746383
2025-10-08,203.850006103516,202.2977020960688
2025-10-09,203.949996948242,202.32871019188383
