Date,Actual,ARIMA_Predicted
2018-11-15,64.3600006103516,63.43477964758388
2018-11-16,63.9599990844727,63.46522005445812
2018-11-19,63.4000015258789,63.54849139789068
2018-11-20,62.8800010681152,63.46529062114752
2018-11-21,63.4799995422363,63.4377349155403
2018-11-22,62.2400016784668,63.549529803808234
2018-11-23,62.4599990844727,63.524941073115826
2018-11-26,63.6199989318848,63.47358824850605
2018-11-27,63.0,63.53141731154962
2018-11-28,63.4199981689453,63.54495751099324
2018-11-29,64.3399963378906,63.391365616835216
2018-11-30,64.2799987792969,63.383935428286705
2018-12-03,65.4400024414062,63.40511961726759
2018-12-04,64.4000015258789,63.38902915048672
2018-12-05,63.5200004577637,63.37048967902441
2018-12-06,60.7200012207031,63.57582023775421
2018-12-07,61.3600006103516,63.58220419439212
2018-12-10,61.060001373291,63.54516928733304
2018-12-11,61.7400016784668,63.58093013333559
2018-12-12,63.1800003051758,63.609522233105295
2018-12-13,62.8400001525879,63.135261273276214
2018-12-14,61.0,63.086294597207925
2018-12-17,60.3600006103516,63.1337860936869
2018-12-18,60.4799995422363,63.12764447513612
2018-12-19,60.2200012207031,63.0654432305261
2018-12-20,59.0999984741211,60.32643284801347
2018-12-21,58.060001373291,60.45341011450881
2018-12-24,57.9799995422363,60.43639749384774
2018-12-27,58.2200012207031,60.467384303649126
2018-12-28,59.3199996948242,60.58684072499083
