Date,Actual,LSTM_XGBoost_Predicted
2025-08-29,210.050003051758,213.63804499999998
2025-09-01,210.25,213.60776499999997
2025-09-02,211.100006103516,213.751825
2025-09-03,217.25,214.79790500000001
2025-09-04,217.25,214.539015
2025-09-05,218.300003051758,216.03574
2025-09-08,226.149993896484,216.79403
2025-09-09,223.449996948242,215.914615
2025-09-10,228.949996948242,216.61325
2025-09-11,229.649993896484,219.54336999999998
2025-09-12,232.0,223.70622500000002
2025-09-15,233.75,224.211615
2025-09-16,228.899993896484,220.349785
2025-09-17,226.949996948242,220.941015
2025-09-18,232.649993896484,219.93977999999998
2025-09-19,231.100006103516,230.957405
2025-09-22,230.0,229.28143
2025-09-23,230.550003051758,229.14046000000002
2025-09-24,232.399993896484,227.109085
2025-09-25,231.050003051758,230.41657500000002
2025-09-26,235.25,232.28259500000001
2025-09-29,234.25,231.27228
2025-09-30,237.600006103516,231.52777
2025-10-01,244.850006103516,232.36551
2025-10-02,250.5,232.56405
2025-10-03,249.699996948242,252.32791
2025-10-06,250.0,249.87082
2025-10-07,245.899993896484,249.35105
2025-10-08,248.800003051758,247.63699
2025-10-09,249.0,246.163345
