Date,Actual,XGBoost_Predicted
2025-08-29,198.119995117188,199.29596
2025-09-01,199.179992675781,200.42322
2025-09-02,194.539993286133,199.7775
2025-09-03,195.380004882812,198.41507
2025-09-04,196.899993896484,199.14595
2025-09-05,195.559997558594,197.93465
2025-09-08,197.220001220703,198.37625
2025-09-09,196.440002441406,199.36401
2025-09-10,195.800003051758,199.92459
2025-09-11,196.399993896484,199.78687
2025-09-12,196.300003051758,197.86179
2025-09-15,196.779998779297,199.03624
2025-09-16,193.300003051758,199.34901
2025-09-17,193.580001831055,199.09769
2025-09-18,196.240005493164,199.86028
2025-09-19,195.820007324219,197.16411
2025-09-22,194.860000610352,198.19604
2025-09-23,195.759994506836,198.29033
2025-09-24,196.080001831055,198.36212
2025-09-25,194.979995727539,198.98445
2025-09-26,196.660003662109,197.03177
2025-09-29,196.679992675781,195.4957
2025-09-30,197.559997558594,196.28305
2025-10-01,199.839996337891,196.30905
2025-10-02,202.300003051758,198.23517
2025-10-03,201.899993896484,200.61952
2025-10-06,201.949996948242,199.8034
2025-10-07,202.050003051758,199.6067
2025-10-08,203.850006103516,199.9745
2025-10-09,203.949996948242,199.51402
