Date,Actual,ARIMA_LSTM_Predicted
2018-11-15,64.3600006103516,63.41311523675434
2018-11-16,63.9599990844727,63.4606783481643
2018-11-19,63.4000015258789,63.572036866116754
2018-11-20,62.8800010681152,63.493579324559335
2018-11-21,63.4799995422363,63.458454887048084
2018-11-22,62.2400016784668,63.567729649956725
2018-11-23,62.4599990844727,63.538631696570576
2018-11-26,63.6199989318848,63.488365997351565
2018-11-27,63.0,63.53392102467684
2018-11-28,63.4199981689453,63.56061023087835
2018-11-29,64.3399963378906,63.40771458602653
2018-11-30,64.2799987792969,63.38452526118307
2018-12-03,65.4400024414062,63.40160974746857
2018-12-04,64.4000015258789,63.39534969547091
2018-12-05,63.5200004577637,63.37376871633236
2018-12-06,60.7200012207031,63.57102909021295
2018-12-07,61.3600006103516,63.58316368848509
2018-12-10,61.060001373291,63.55982488763496
2018-12-11,61.7400016784668,63.585079642463775
2018-12-12,63.1800003051758,63.600257864541405
2018-12-13,62.8400001525879,63.144497962001864
2018-12-14,61.0,63.07655063383969
2018-12-17,60.3600006103516,63.14134355705344
2018-12-18,60.4799995422363,63.12007926223444
2018-12-19,60.2200012207031,63.075248876319776
2018-12-20,59.0999984741211,60.31876991562498
2018-12-21,58.060001373291,60.45416388410166
2018-12-24,57.9799995422363,60.40943889416112
2018-12-27,58.2200012207031,60.47007831205538
2018-12-28,59.3199996948242,60.58549481928268
