Date,Actual,XGBoost_Predicted
2025-08-29,210.050003051758,214.54135
2025-09-01,210.25,214.36081
2025-09-02,211.100006103516,214.75241
2025-09-03,217.25,216.95656
2025-09-04,217.25,216.50465
2025-09-05,218.300003051758,216.81406
2025-09-08,226.149993896484,216.14995
2025-09-09,223.449996948242,215.97423
2025-09-10,228.949996948242,217.2208
2025-09-11,229.649993896484,219.13287
2025-09-12,232.0,229.99712
2025-09-15,233.75,230.78583
2025-09-16,228.899993896484,228.08443
2025-09-17,226.949996948242,228.22906
2025-09-18,232.649993896484,224.89168
2025-09-19,231.100006103516,232.84999
2025-09-22,230.0,231.50125
2025-09-23,230.550003051758,230.79613
2025-09-24,232.399993896484,229.15358
2025-09-25,231.050003051758,233.5474
2025-09-26,235.25,231.39687
2025-09-29,234.25,231.54378
2025-09-30,237.600006103516,230.06152
2025-10-01,244.850006103516,232.2349
2025-10-02,250.5,233.31514
2025-10-03,249.699996948242,248.19342
2025-10-06,250.0,243.7366
2025-10-07,245.899993896484,243.30096
2025-10-08,248.800003051758,239.7328
2025-10-09,249.0,237.36212
