Date,Actual,ARIMA_XGBoost_Predicted
2018-11-15,64.3600006103516,63.462224868903675
2018-11-16,63.9599990844727,63.45916607262124
2018-11-19,63.4000015258789,63.571118850279085
2018-11-20,62.8800010681152,63.49070205003119
2018-11-21,63.4799995422363,63.41186830461093
2018-11-22,62.2400016784668,63.54749312520345
2018-11-23,62.4599990844727,63.535120103824795
2018-11-26,63.6199989318848,63.4554729776232
2018-11-27,63.0,63.52964905850446
2018-11-28,63.4199981689453,63.55728193917906
2018-11-29,64.3399963378906,63.361692340366105
2018-11-30,64.2799987792969,63.38134567655324
2018-12-03,65.4400024414062,63.44337433649514
2018-12-04,64.4000015258789,63.4247118585117
2018-12-05,63.5200004577637,63.36505429561142
2018-12-06,60.7200012207031,63.58713405894331
2018-12-07,61.3600006103516,63.56686381774679
2018-12-10,61.060001373291,63.58463967309311
2018-12-11,61.7400016784668,63.59849123003364
2018-12-12,63.1800003051758,63.595117248914235
2018-12-13,62.8400001525879,63.12526289120704
2018-12-14,61.0,63.075614837191424
2018-12-17,60.3600006103516,63.046659525727115
2018-12-18,60.4799995422363,63.05283944639953
2018-12-19,60.2200012207031,63.056378436008046
2018-12-20,59.0999984741211,60.312641325070985
2018-12-21,58.060001373291,60.608814384204095
2018-12-24,57.9799995422363,60.43475180518171
2018-12-27,58.2200012207031,60.50970845549291
2018-12-28,59.3199996948242,60.5510659166138
