Date,Actual,ARIMA_XGBoost_Predicted
2025-08-29,5351.72998046875,5397.615501607424
2025-09-01,5367.080078125,5393.736978447665
2025-09-02,5291.0400390625,5396.796533333341
2025-09-03,5325.009765625,5397.165722933172
2025-09-04,5346.7099609375,5395.480285522047
2025-09-05,5318.14990234375,5352.95474272219
2025-09-08,5362.81005859375,5345.988431394142
2025-09-09,5368.81982421875,5344.503628052198
2025-09-10,5361.47021484375,5349.82749210016
2025-09-11,5386.77001953125,5349.420004875432
2025-09-12,5390.7099609375,5384.146265936818
2025-09-15,5440.39990234375,5391.302702399325
2025-09-16,5372.31005859375,5385.89718683444
2025-09-17,5369.7001953125,5385.951579347832
2025-09-18,5456.669921875,5390.0881021415225
2025-09-19,5458.419921875,5453.268179891266
2025-09-22,5442.0498046875,5453.360050617961
2025-09-23,5472.39013671875,5452.994066880867
2025-09-24,5464.56005859375,5452.950219083554
2025-09-25,5444.89013671875,5454.184000721522
2025-09-26,5499.7001953125,5445.250150838051
2025-09-29,5506.85009765625,5447.253156517282
2025-09-30,5529.9599609375,5446.95475695234
2025-10-01,5581.2099609375,5446.427651046882
2025-10-02,5645.81005859375,5447.208397717741
2025-10-03,5651.7099609375,5644.851796477107
2025-10-06,5628.72021484375,5641.079058845498
2025-10-07,5613.6201171875,5642.766430067808
2025-10-08,5649.72998046875,5641.723191748837
2025-10-09,5625.56005859375,5641.604701779176
