Date,Actual,ARIMA_Predicted
2025-08-29,5351.72998046875,5395.921511138446
2025-09-01,5367.080078125,5393.67093953364
2025-09-02,5291.0400390625,5396.501134829799
2025-09-03,5325.009765625,5395.788354959845
2025-09-04,5346.7099609375,5393.986938354078
2025-09-05,5318.14990234375,5350.475697331107
2025-09-08,5362.81005859375,5348.125119388145
2025-09-09,5368.81982421875,5345.8509711393945
2025-09-10,5361.47021484375,5350.147438597839
2025-09-11,5386.77001953125,5348.048038513432
2025-09-12,5390.7099609375,5384.88107432219
2025-09-15,5440.39990234375,5389.43027219398
2025-09-16,5372.31005859375,5385.274004954919
2025-09-17,5369.7001953125,5385.332391396744
2025-09-18,5456.669921875,5388.91236654868
2025-09-19,5458.419921875,5452.705820677437
2025-09-22,5442.0498046875,5451.552075683383
2025-09-23,5472.39013671875,5451.842021034881
2025-09-24,5464.56005859375,5452.837057221657
2025-09-25,5444.89013671875,5451.618515720912
2025-09-26,5499.7001953125,5444.815901466761
2025-09-29,5506.85009765625,5446.367664252058
2025-09-30,5529.9599609375,5445.908589697892
2025-10-01,5581.2099609375,5444.9235466710425
2025-10-02,5645.81005859375,5446.268005700376
2025-10-03,5651.7099609375,5642.816973774699
2025-10-06,5628.72021484375,5640.454391320207
2025-10-07,5613.6201171875,5642.2466304180925
2025-10-08,5649.72998046875,5642.808232914189
2025-10-09,5625.56005859375,5640.685226164152
