Date,Actual,ARIMA_XGBoost_Predicted
2018-11-14,3205.36010742188,3224.8615823945265
2018-11-15,3190.31005859375,3224.546550264747
2018-11-16,3180.73999023438,3223.560035697956
2018-11-19,3160.330078125,3226.3108045700965
2018-11-20,3116.07006835938,3222.490479000746
2018-11-21,3153.90991210938,3119.2440931152355
2018-11-22,3126.669921875,3120.7314548141676
2018-11-23,3137.2099609375,3123.952611243016
2018-11-26,3172.7099609375,3122.972974372369
2018-11-27,3166.419921875,3124.192700209546
2018-11-28,3168.2900390625,3161.6135889346256
2018-11-29,3174.15991210938,3164.637534690674
2018-11-30,3173.1298828125,3164.6851212358533
2018-12-03,3214.98999023438,3163.9583232907758
2018-12-04,3189.25,3162.9502788495383
2018-12-05,3150.27001953125,3190.1629055412404
2018-12-06,3045.93994140625,3190.214660484211
2018-12-07,3058.53002929688,3192.9671128915666
2018-12-10,3016.98999023438,3188.6707372827223
2018-12-11,3055.32006835938,3189.470145771185
2018-12-12,3107.96997070312,3055.9549117782394
2018-12-13,3112.169921875,3060.054121217282
2018-12-14,3092.60009765625,3055.7899258542434
2018-12-17,3063.64990234375,3057.0084698093497
2018-12-18,3040.1298828125,3051.649227496366
2018-12-19,3051.3798828125,3064.0045470118916
2018-12-20,3000.06005859375,3048.5061731452492
2018-12-21,3000.61010742188,3047.5536508970704
2018-12-27,2937.36010742188,3045.8005131082796
2018-12-28,2986.53002929688,3046.0733509849374
