Date,Actual,LSTM_XGBoost_Predicted
2025-08-29,198.119995117188,192.04474
2025-09-01,199.179992675781,192.996195
2025-09-02,194.539993286133,192.227205
2025-09-03,195.380004882812,191.95346999999998
2025-09-04,196.899993896484,191.817545
2025-09-05,195.559997558594,198.97297
2025-09-08,197.220001220703,199.46203500000001
2025-09-09,196.440002441406,199.749505
2025-09-10,195.800003051758,199.68928499999998
2025-09-11,196.399993896484,199.71501999999998
2025-09-12,196.300003051758,192.939775
2025-09-15,196.779998779297,193.28722499999998
2025-09-16,193.300003051758,193.765495
2025-09-17,193.580001831055,193.52954499999998
2025-09-18,196.240005493164,193.836255
2025-09-19,195.820007324219,200.35001499999998
2025-09-22,194.860000610352,200.58705
2025-09-23,195.759994506836,200.444595
2025-09-24,196.080001831055,200.47367
2025-09-25,194.979995727539,200.80591
2025-09-26,196.660003662109,197.20501000000002
2025-09-29,196.679992675781,196.1309
2025-09-30,197.559997558594,197.11156499999998
2025-10-01,199.839996337891,196.86803500000002
2025-10-02,202.300003051758,196.87928
2025-10-03,201.899993896484,200.60547
2025-10-06,201.949996948242,200.248905
2025-10-07,202.050003051758,199.82961
2025-10-08,203.850006103516,199.77179999999998
2025-10-09,203.949996948242,199.20294
