Date,Actual,ARIMA_LSTM_Predicted
2025-08-29,210.050003051758,213.52081056944485
2025-09-01,210.25,213.39076215276637
2025-09-02,211.100006103516,213.52649748075856
2025-09-03,217.25,213.53841014084028
2025-09-04,217.25,213.4305434524637
2025-09-05,218.300003051758,216.1381080613856
2025-09-08,226.149993896484,215.92114764202947
2025-09-09,223.449996948242,216.5674772525034
2025-09-10,228.949996948242,217.11568097721621
2025-09-11,229.649993896484,216.5655805051958
2025-09-12,232.0,228.62141776391573
2025-09-15,233.75,228.72522251392047
2025-09-16,228.899993896484,229.31825866528445
2025-09-17,226.949996948242,229.39111449576507
2025-09-18,232.649993896484,228.82347458710288
2025-09-19,231.100006103516,232.85153967500256
2025-09-22,230.0,232.58750243211125
2025-09-23,230.550003051758,232.55537481083212
2025-09-24,232.399993896484,232.3393084132768
2025-09-25,231.050003051758,232.27436689299762
2025-09-26,235.25,231.13663590987406
2025-09-29,234.25,231.26686551351375
2025-09-30,237.600006103516,231.16330259733425
2025-10-01,244.850006103516,231.13140710771452
2025-10-02,250.5,231.19214016861577
2025-10-03,249.699996948242,249.8661059937308
2025-10-06,250.0,249.20748214868405
2025-10-07,245.899993896484,248.94149536834905
2025-10-08,248.800003051758,249.1858302085385
2025-10-09,249.0,249.38841676391272
