Date,Actual,LSTM_Predicted
2025-08-29,210.050003051758,212.73474
2025-09-01,210.25,212.85472
2025-09-02,211.100006103516,212.75124
2025-09-03,217.25,212.63925
2025-09-04,217.25,212.57338
2025-09-05,218.300003051758,215.25742
2025-09-08,226.149993896484,217.43811
2025-09-09,223.449996948242,215.855
2025-09-10,228.949996948242,216.0057
2025-09-11,229.649993896484,219.95387
2025-09-12,232.0,217.41533
2025-09-15,233.75,217.6374
2025-09-16,228.899993896484,212.61514
2025-09-17,226.949996948242,213.65297
2025-09-18,232.649993896484,214.98788
2025-09-19,231.100006103516,229.06482
2025-09-22,230.0,227.06161
2025-09-23,230.550003051758,227.48479
2025-09-24,232.399993896484,225.06459
2025-09-25,231.050003051758,227.28575
2025-09-26,235.25,233.16832
2025-09-29,234.25,231.00078
2025-09-30,237.600006103516,232.99402
2025-10-01,244.850006103516,232.49612
2025-10-02,250.5,231.81296
2025-10-03,249.699996948242,256.4624
2025-10-06,250.0,256.00504
2025-10-07,245.899993896484,255.40114
2025-10-08,248.800003051758,255.54118
2025-10-09,249.0,254.96457
