Date,Actual,LSTM_XGBoost_Predicted
2018-11-14,3205.36010742188,3235.2354
2018-11-15,3190.31005859375,3230.8504000000003
2018-11-16,3180.73999023438,3235.0816999999997
2018-11-19,3160.330078125,3235.56225
2018-11-20,3116.07006835938,3229.33765
2018-11-21,3153.90991210938,3134.2818500000003
2018-11-22,3126.669921875,3135.6107
2018-11-23,3137.2099609375,3142.3951500000003
2018-11-26,3172.7099609375,3135.0472
2018-11-27,3166.419921875,3143.75155
2018-11-28,3168.2900390625,3172.55055
2018-11-29,3174.15991210938,3179.64635
2018-11-30,3173.1298828125,3181.62025
2018-12-03,3214.98999023438,3179.56835
2018-12-04,3189.25,3186.98815
2018-12-05,3150.27001953125,3203.52305
2018-12-06,3045.93994140625,3201.7693
2018-12-07,3058.53002929688,3195.16835
2018-12-10,3016.98999023438,3191.54455
2018-12-11,3055.32006835938,3190.2896499999997
2018-12-12,3107.96997070312,3081.20695
2018-12-13,3112.169921875,3075.7889
2018-12-14,3092.60009765625,3069.4245499999997
2018-12-17,3063.64990234375,3082.8353500000003
2018-12-18,3040.1298828125,3074.9047
2018-12-19,3051.3798828125,3059.3112
2018-12-20,3000.06005859375,3060.15465
2018-12-21,3000.61010742188,3065.397
2018-12-27,2937.36010742188,3067.057
2018-12-28,2986.53002929688,3073.9532
