Date,Actual,LSTM_XGBoost_Predicted
2025-08-29,5351.72998046875,5400.996349999999
2025-09-01,5367.080078125,5399.4953000000005
2025-09-02,5291.0400390625,5399.2525000000005
2025-09-03,5325.009765625,5403.953799999999
2025-09-04,5346.7099609375,5373.96775
2025-09-05,5318.14990234375,5349.47755
2025-09-08,5362.81005859375,5287.344
2025-09-09,5368.81982421875,5288.2639
2025-09-10,5361.47021484375,5341.7815
2025-09-11,5386.77001953125,5308.95165
2025-09-12,5390.7099609375,5368.76115
2025-09-15,5440.39990234375,5377.736800000001
2025-09-16,5372.31005859375,5373.3064
2025-09-17,5369.7001953125,5377.6655
2025-09-18,5456.669921875,5388.50125
2025-09-19,5458.419921875,5439.5825
2025-09-22,5442.0498046875,5391.36435
2025-09-23,5472.39013671875,5407.1641500000005
2025-09-24,5464.56005859375,5392.729
2025-09-25,5444.89013671875,5318.3085
2025-09-26,5499.7001953125,5444.6422999999995
2025-09-29,5506.85009765625,5437.47755
2025-09-30,5529.9599609375,5424.18915
2025-10-01,5581.2099609375,5418.519850000001
2025-10-02,5645.81005859375,5412.226049999999
2025-10-03,5651.7099609375,5550.6048
2025-10-06,5628.72021484375,5544.3904999999995
2025-10-07,5613.6201171875,5536.1822
2025-10-08,5649.72998046875,5522.779500000001
2025-10-09,5625.56005859375,5515.9285
