Date,Actual,XGBoost_Predicted
2018-11-15,64.3600006103516,63.20331
2018-11-16,63.9599990844727,63.245747
2018-11-19,63.4000015258789,63.31891
2018-11-20,62.8800010681152,63.418358
2018-11-21,63.4799995422363,63.348564
2018-11-22,62.2400016784668,63.615585
2018-11-23,62.4599990844727,63.373356
2018-11-26,63.6199989318848,63.253338
2018-11-27,63.0,63.050488
2018-11-28,63.4199981689453,62.635494
2018-11-29,64.3399963378906,63.64502
2018-11-30,64.2799987792969,63.665775
2018-12-03,65.4400024414062,63.552982
2018-12-04,64.4000015258789,63.67428
2018-12-05,63.5200004577637,63.185276
2018-12-06,60.7200012207031,63.620705
2018-12-07,61.3600006103516,63.73992
2018-12-10,61.060001373291,63.628872
2018-12-11,61.7400016784668,63.621456
2018-12-12,63.1800003051758,63.241825
2018-12-13,62.8400001525879,62.975647
2018-12-14,61.0,62.952354
2018-12-17,60.3600006103516,62.82683
2018-12-18,60.4799995422363,62.504112
2018-12-19,60.2200012207031,62.76159
2018-12-20,59.0999984741211,60.423306
2018-12-21,58.060001373291,60.555416
2018-12-24,57.9799995422363,60.49158
2018-12-27,58.2200012207031,60.305943
2018-12-28,59.3199996948242,60.15852
