Date,Actual,ARIMA_Predicted
2025-08-29,198.119995117188,199.14441333859668
2025-09-01,199.179992675781,199.15637157531137
2025-09-02,194.539993286133,199.11397076351284
2025-09-03,195.380004882812,199.1717969785754
2025-09-04,196.899993896484,199.1174309837442
2025-09-05,195.559997558594,197.020860256758
2025-09-08,197.220001220703,197.00104550422952
2025-09-09,196.440002441406,196.92030555260055
2025-09-10,195.800003051758,197.0699505944785
2025-09-11,196.399993896484,196.90233951737198
2025-09-12,196.300003051758,196.5233141790845
2025-09-15,196.779998779297,196.5153720887302
2025-09-16,193.300003051758,196.41320672088514
2025-09-17,193.580001831055,196.5865212276582
2025-09-18,196.240005493164,196.40040340805325
2025-09-19,195.820007324219,196.38893233226648
2025-09-22,194.860000610352,196.37630852011736
2025-09-23,195.759994506836,196.25814772031083
2025-09-24,196.080001831055,196.46161004758744
2025-09-25,194.979995727539,196.24150300874308
2025-09-26,196.660003662109,195.14063545015637
2025-09-29,196.679992675781,195.06219850555635
2025-09-30,197.559997558594,195.0397380270254
2025-10-01,199.839996337891,195.14936982748512
2025-10-02,202.300003051758,194.99229267626603
2025-10-03,201.899993896484,202.3022696780271
2025-10-06,201.949996948242,202.34033414085533
2025-10-07,202.050003051758,202.33194957901748
2025-10-08,203.850006103516,202.33230931278462
2025-10-09,203.949996948242,202.33255423815058
