Date,Actual,ARIMA_Predicted
2018-11-14,98.25,98.82866518572831
2018-11-15,97.7699966430664,98.61651897534237
2018-11-16,97.6900024414062,98.561715520467
2018-11-19,96.8000030517578,98.70604686314904
2018-11-20,95.3899993896484,98.83493649903781
2018-11-21,96.870002746582,95.32723250060502
2018-11-22,95.9400024414062,95.1923568149766
2018-11-23,96.379997253418,95.18484534178573
2018-11-26,97.7399978637695,95.36625566151548
2018-11-27,97.4199981689453,95.46798359547135
2018-11-28,97.3199996948242,97.275726877407
2018-11-29,97.3099975585938,97.16956783776625
2018-11-30,97.0299987792969,97.19637850688262
2018-12-03,98.7399978637695,97.3297069060463
2018-12-04,97.6500015258789,97.37297544378167
2018-12-05,96.4000015258789,97.51770917393243
2018-12-06,93.2799987792969,97.45986652250727
2018-12-07,92.9400024414062,97.47515702295341
2018-12-10,91.5599975585938,97.58022653289945
2018-12-11,92.9100036621094,97.62009307687285
2018-12-12,94.0999984741211,92.90781748928002
2018-12-13,94.0999984741211,92.84728421135931
2018-12-14,93.6900024414062,92.87371627433338
2018-12-17,92.8000030517578,92.9176694448053
2018-12-18,92.6100006103516,92.91489297788648
2018-12-19,92.6900024414062,92.52302509949773
2018-12-20,91.370002746582,92.50285559977887
2018-12-21,91.6800003051758,92.60411291413418
2018-12-27,89.4899978637695,92.68152397446337
2018-12-28,91.0599975585938,92.62291763213106
