Date,Actual,XGBoost_Predicted
2025-08-29,5351.72998046875,5399.0103
2025-09-01,5367.080078125,5403.6436
2025-09-02,5291.0400390625,5404.813
2025-09-03,5325.009765625,5421.848
2025-09-04,5346.7099609375,5364.9575
2025-09-05,5318.14990234375,5356.7515
2025-09-08,5362.81005859375,5238.451
2025-09-09,5368.81982421875,5245.9585
2025-09-10,5361.47021484375,5352.26
2025-09-11,5386.77001953125,5285.978
2025-09-12,5390.7099609375,5362.6553
2025-09-15,5440.39990234375,5385.081
2025-09-16,5372.31005859375,5375.4795
2025-09-17,5369.7001953125,5379.312
2025-09-18,5456.669921875,5403.837
2025-09-19,5458.419921875,5438.96
2025-09-22,5442.0498046875,5340.6567
2025-09-23,5472.39013671875,5378.737
2025-09-24,5464.56005859375,5345.675
2025-09-25,5444.89013671875,5197.203
2025-09-26,5499.7001953125,5446.956
2025-09-29,5506.85009765625,5433.5186
2025-09-30,5529.9599609375,5406.807
2025-10-01,5581.2099609375,5390.442
2025-10-02,5645.81005859375,5378.4316
2025-10-03,5651.7099609375,5447.2646
2025-10-06,5628.72021484375,5439.363
2025-10-07,5613.6201171875,5427.9204
2025-10-08,5649.72998046875,5401.548
2025-10-09,5625.56005859375,5391.572
