Date,Actual,LSTM_Predicted
2018-11-14,3205.36010742188,3244.1218
2018-11-15,3190.31005859375,3244.442
2018-11-16,3180.73999023438,3243.536
2018-11-19,3160.330078125,3245.4238
2018-11-20,3116.07006835938,3243.415
2018-11-21,3153.90991210938,3165.969
2018-11-22,3126.669921875,3166.9182
2018-11-23,3137.2099609375,3166.5293
2018-11-26,3172.7099609375,3159.467
2018-11-27,3166.419921875,3166.0754
2018-11-28,3168.2900390625,3168.7073
2018-11-29,3174.15991210938,3179.9287
2018-11-30,3173.1298828125,3178.2144
2018-12-03,3214.98999023438,3178.0012
2018-12-04,3189.25,3184.5547
2018-12-05,3150.27001953125,3214.2998
2018-12-06,3045.93994140625,3208.4077
2018-12-07,3058.53002929688,3215.9712
2018-12-10,3016.98999023438,3210.4944
2018-12-11,3055.32006835938,3217.0056
2018-12-12,3107.96997070312,3092.9146
2018-12-13,3112.169921875,3088.352
2018-12-14,3092.60009765625,3067.2976
2018-12-17,3063.64990234375,3088.5425
2018-12-18,3040.1298828125,3075.3804
2018-12-19,3051.3798828125,3075.9268
2018-12-20,3000.06005859375,3077.5256
2018-12-21,3000.61010742188,3077.445
2018-12-27,2937.36010742188,3078.3606
2018-12-28,2986.53002929688,3079.7314
