Date,Actual,ARIMA_LSTM_Predicted
2018-11-14,3205.36010742188,3224.035359736369
2018-11-15,3190.31005859375,3225.142827188761
2018-11-16,3180.73999023438,3225.3985413739724
2018-11-19,3160.330078125,3226.545139396566
2018-11-20,3116.07006835938,3222.9831321024285
2018-11-21,3153.90991210938,3118.363006184603
2018-11-22,3126.669921875,3121.04239054987
2018-11-23,3137.2099609375,3124.3390616082015
2018-11-26,3172.7099609375,3122.646699500543
2018-11-27,3166.419921875,3122.8975516133783
2018-11-28,3168.2900390625,3162.2910416329755
2018-11-29,3174.15991210938,3164.3609640725213
2018-11-30,3173.1298828125,3164.661763010031
2018-12-03,3214.98999023438,3163.4660248516307
2018-12-04,3189.25,3162.6574580606184
2018-12-05,3150.27001953125,3190.1585376532666
2018-12-06,3045.93994140625,3190.2552169746323
2018-12-07,3058.53002929688,3192.1564693378327
2018-12-10,3016.98999023438,3188.7139816445997
2018-12-11,3055.32006835938,3191.449352217743
2018-12-12,3107.96997070312,3053.878360400466
2018-12-13,3112.169921875,3059.434859565051
2018-12-14,3092.60009765625,3052.043006818332
2018-12-17,3063.64990234375,3053.6457706583105
2018-12-18,3040.1298828125,3050.946218963842
2018-12-19,3051.3798828125,3043.2516126752294
2018-12-20,3000.06005859375,3045.390899192765
2018-12-21,3000.61010742188,3045.5786873587217
2018-12-27,2937.36010742188,3043.4568699496053
2018-12-28,2986.53002929688,3043.543777484781
