Date,Actual,LSTM_Predicted
2025-08-29,5351.72998046875,5402.9824
2025-09-01,5367.080078125,5395.347
2025-09-02,5291.0400390625,5393.692
2025-09-03,5325.009765625,5386.0596
2025-09-04,5346.7099609375,5382.978
2025-09-05,5318.14990234375,5342.2036
2025-09-08,5362.81005859375,5336.237
2025-09-09,5368.81982421875,5330.5693
2025-09-10,5361.47021484375,5331.303
2025-09-11,5386.77001953125,5331.9253
2025-09-12,5390.7099609375,5374.867
2025-09-15,5440.39990234375,5370.3926
2025-09-16,5372.31005859375,5371.1333
2025-09-17,5369.7001953125,5376.019
2025-09-18,5456.669921875,5373.1655
2025-09-19,5458.419921875,5440.205
2025-09-22,5442.0498046875,5442.072
2025-09-23,5472.39013671875,5435.5913
2025-09-24,5464.56005859375,5439.783
2025-09-25,5444.89013671875,5439.414
2025-09-26,5499.7001953125,5442.3286
2025-09-29,5506.85009765625,5441.4365
2025-09-30,5529.9599609375,5441.5713
2025-10-01,5581.2099609375,5446.5977
2025-10-02,5645.81005859375,5446.0205
2025-10-03,5651.7099609375,5653.945
2025-10-06,5628.72021484375,5649.418
2025-10-07,5613.6201171875,5644.444
2025-10-08,5649.72998046875,5644.011
2025-10-09,5625.56005859375,5640.285
