Date,Actual,ARIMA_XGBoost_Predicted
2025-08-29,210.050003051758,213.48045652247424
2025-09-01,210.25,213.42519681031027
2025-09-02,211.100006103516,215.3553004351641
2025-09-03,217.25,213.26667049404787
2025-09-04,217.25,213.57393641393597
2025-09-05,218.300003051758,216.04676174534603
2025-09-08,226.149993896484,217.38921259839648
2025-09-09,223.449996948242,216.71758369745828
2025-09-10,228.949996948242,216.97728475507185
2025-09-11,229.649993896484,216.50728069550152
2025-09-12,232.0,228.6812386021883
2025-09-15,233.75,228.75028379718105
2025-09-16,228.899993896484,229.34868404247456
2025-09-17,226.949996948242,229.46775307420234
2025-09-18,232.649993896484,228.96610508130257
2025-09-19,231.100006103516,232.48935233414696
2025-09-22,230.0,232.14140425348614
2025-09-23,230.550003051758,232.41220680101452
2025-09-24,232.399993896484,231.7297767871715
2025-09-25,231.050003051758,232.30559016031444
2025-09-26,235.25,231.13701005754254
2025-09-29,234.25,231.06476324353642
2025-09-30,237.600006103516,231.2522835775517
2025-10-01,244.850006103516,230.62959340542923
2025-10-02,250.5,231.15589798904318
2025-10-03,249.699996948242,249.7282172604332
2025-10-06,250.0,248.31143623476424
2025-10-07,245.899993896484,248.95544386291752
2025-10-08,248.800003051758,249.2342150612459
2025-10-09,249.0,249.365312511619
