Date,Actual,ARIMA_LSTM_Predicted
2025-08-29,5351.72998046875,5397.415297711856
2025-09-01,5367.080078125,5395.31845089667
2025-09-02,5291.0400390625,5398.164837556164
2025-09-03,5325.009765625,5396.83908494985
2025-09-04,5346.7099609375,5395.810034629408
2025-09-05,5318.14990234375,5351.615609221137
2025-09-08,5362.81005859375,5349.0278674960555
2025-09-09,5368.81982421875,5347.326750911199
2025-09-10,5361.47021484375,5351.160895300071
2025-09-11,5386.77001953125,5349.010735244523
2025-09-12,5390.7099609375,5385.352177632775
2025-09-15,5440.39990234375,5390.458215805125
2025-09-16,5372.31005859375,5386.231773872003
2025-09-17,5369.7001953125,5386.158962503655
2025-09-18,5456.669921875,5388.941487811633
2025-09-19,5458.419921875,5454.330656764664
2025-09-22,5442.0498046875,5452.41028839281
2025-09-23,5472.39013671875,5453.0454013811795
2025-09-24,5464.56005859375,5453.893530119187
2025-09-25,5444.89013671875,5452.345049014636
2025-09-26,5499.7001953125,5445.770446964655
2025-09-29,5506.85009765625,5447.2859367473275
2025-09-30,5529.9599609375,5446.049642197306
2025-10-01,5581.2099609375,5445.624033033023
2025-10-02,5645.81005859375,5447.416476340559
2025-10-03,5651.7099609375,5650.973504154948
2025-10-06,5628.72021484375,5647.494313557603
2025-10-07,5613.6201171875,5646.702982175142
2025-10-08,5649.72998046875,5647.206414829472
2025-10-09,5625.56005859375,5647.0241052725805
