Date,Actual,ARIMA_Predicted
2018-11-14,3205.36010742188,3222.935344811366
2018-11-15,3190.31005859375,3224.3802864907098
2018-11-16,3180.73999023438,3223.54033796287
2018-11-19,3160.330078125,3225.5561761502204
2018-11-20,3116.07006835938,3222.6294281863557
2018-11-21,3153.90991210938,3119.3160419564497
2018-11-22,3126.669921875,3121.8189999706465
2018-11-23,3137.2099609375,3124.5699336879316
2018-11-26,3172.7099609375,3123.9603100542845
2018-11-27,3166.419921875,3124.125403004217
2018-11-28,3168.2900390625,3162.5313370878353
2018-11-29,3174.15991210938,3164.053951633747
2018-11-30,3173.1298828125,3164.7734687528073
2018-12-03,3214.98999023438,3163.5778287558064
2018-12-04,3189.25,3162.870366850134
2018-12-05,3150.27001953125,3189.6265095742338
2018-12-06,3045.93994140625,3189.69769998254
2018-12-07,3058.53002929688,3191.0110716747163
2018-12-10,3016.98999023438,3188.137388901203
2018-12-11,3055.32006835938,3189.5319582949373
2018-12-12,3107.96997070312,3055.223840246467
2018-12-13,3112.169921875,3060.219910732062
2018-12-14,3092.60009765625,3054.1627406287566
2018-12-17,3063.64990234375,3054.3324653995596
2018-12-18,3040.1298828125,3052.3322716915413
2018-12-19,3051.3798828125,3044.714786422292
2018-12-20,3000.06005859375,3047.4024932498482
2018-12-21,3000.61010742188,3047.6766950377073
2018-12-27,2937.36010742188,3046.1123942034505
2018-12-28,2986.53002929688,3046.3635561655824
