Date,Actual,LSTM_Predicted
2025-08-29,198.119995117188,184.79352
2025-09-01,199.179992675781,185.56917
2025-09-02,194.539993286133,184.67691
2025-09-03,195.380004882812,185.49187
2025-09-04,196.899993896484,184.48914
2025-09-05,195.559997558594,200.01129
2025-09-08,197.220001220703,200.54782
2025-09-09,196.440002441406,200.135
2025-09-10,195.800003051758,199.45398
2025-09-11,196.399993896484,199.64317
2025-09-12,196.300003051758,188.01776
2025-09-15,196.779998779297,187.53821
2025-09-16,193.300003051758,188.18198
2025-09-17,193.580001831055,187.9614
2025-09-18,196.240005493164,187.81223
2025-09-19,195.820007324219,203.53592
2025-09-22,194.860000610352,202.97806
2025-09-23,195.759994506836,202.59886
2025-09-24,196.080001831055,202.58522
2025-09-25,194.979995727539,202.62737
2025-09-26,196.660003662109,197.37825
2025-09-29,196.679992675781,196.7661
2025-09-30,197.559997558594,197.94008
2025-10-01,199.839996337891,197.42702
2025-10-02,202.300003051758,195.52339
2025-10-03,201.899993896484,200.59142
2025-10-06,201.949996948242,200.69441
2025-10-07,202.050003051758,200.05252
2025-10-08,203.850006103516,199.5691
2025-10-09,203.949996948242,198.89186
