Date,Actual,LSTM_Predicted
2018-11-14,98.25,97.41024
2018-11-15,97.7699966430664,97.24265
2018-11-16,97.6900024414062,97.287125
2018-11-19,96.8000030517578,97.12727
2018-11-20,95.3899993896484,97.24425
2018-11-21,96.870002746582,95.03302
2018-11-22,95.9400024414062,95.02901
2018-11-23,96.379997253418,95.00111
2018-11-26,97.7399978637695,95.02736
2018-11-27,97.4199981689453,94.95773
2018-11-28,97.3199996948242,96.57085
2018-11-29,97.3099975585938,96.55119
2018-11-30,97.0299987792969,96.51449
2018-12-03,98.7399978637695,96.554596
2018-12-04,97.6500015258789,96.50559
2018-12-05,96.4000015258789,95.87538
2018-12-06,93.2799987792969,95.85932
2018-12-07,92.9400024414062,95.82799
2018-12-10,91.5599975585938,95.85699
2018-12-11,92.9100036621094,95.80775
2018-12-12,94.0999984741211,93.89181
2018-12-13,94.0999984741211,93.88982
2018-12-14,93.6900024414062,93.88878
2018-12-17,92.8000030517578,93.89177
2018-12-18,92.6100006103516,93.88137
2018-12-19,92.6900024414062,92.96587
2018-12-20,91.370002746582,93.00434
2018-12-21,91.6800003051758,92.95174
2018-12-27,89.4899978637695,92.98146
2018-12-28,91.0599975585938,93.01258
