Date,Actual,LSTM_XGBoost_Predicted
2018-11-14,98.25,97.9605
2018-11-15,97.7699966430664,97.730082
2018-11-16,97.6900024414062,97.6597675
2018-11-19,96.8000030517578,97.727165
2018-11-20,95.3899993896484,97.6347175
2018-11-21,96.870002746582,95.072705
2018-11-22,95.9400024414062,95.36291
2018-11-23,96.379997253418,95.5431575
2018-11-26,97.7399978637695,95.579665
2018-11-27,97.4199981689453,95.428235
2018-11-28,97.3199996948242,97.3138825
2018-11-29,97.3099975585938,97.4462
2018-11-30,97.0299987792969,97.47414
2018-12-03,98.7399978637695,97.57281499999999
2018-12-04,97.6500015258789,97.641547
2018-12-05,96.4000015258789,96.84596
2018-12-06,93.2799987792969,96.91313
2018-12-07,92.9400024414062,96.934075
2018-12-10,91.5599975585938,97.05168
2018-12-11,92.9100036621094,97.20646500000001
2018-12-12,94.0999984741211,93.5394225
2018-12-13,94.0999984741211,93.47494499999999
2018-12-14,93.6900024414062,93.1624725
2018-12-17,92.8000030517578,93.055855
2018-12-18,92.6100006103516,93.59168199999999
2018-12-19,92.6900024414062,93.048295
2018-12-20,91.370002746582,93.149325
2018-12-21,91.6800003051758,93.14616000000001
2018-12-27,89.4899978637695,93.1961475
2018-12-28,91.0599975585938,93.19248999999999
