Date,Actual,ARIMA_XGBoost_Predicted
2025-08-29,198.119995117188,199.1402471541378
2025-09-01,199.179992675781,199.15938067645448
2025-09-02,194.539993286133,199.1673893812084
2025-09-03,195.380004882812,199.38481049345177
2025-09-04,196.899993896484,198.94995258625562
2025-09-05,195.559997558594,196.80377042492893
2025-09-08,197.220001220703,196.79756494762228
2025-09-09,196.440002441406,196.97175367799275
2025-09-10,195.800003051758,197.38110025125113
2025-09-11,196.399993896484,197.152640789049
2025-09-12,196.300003051758,196.55937663575193
2025-09-15,196.779998779297,196.53066565244632
2025-09-16,193.300003051758,196.48375871234785
2025-09-17,193.580001831055,196.3512539163236
2025-09-18,196.240005493164,196.44739237213406
2025-09-19,195.820007324219,196.38187183752692
2025-09-22,194.860000610352,196.40177876760956
2025-09-23,195.759994506836,196.24920826318487
2025-09-24,196.080001831055,196.4042871989992
2025-09-25,194.979995727539,196.39620853318766
2025-09-26,196.660003662109,195.1680331963766
2025-09-29,196.679992675781,195.2245847590325
2025-09-30,197.559997558594,195.08773682044858
2025-10-01,199.839996337891,195.22418004927638
2025-10-02,202.300003051758,195.02131947889526
2025-10-03,201.899993896484,202.33699066138334
2025-10-06,201.949996948242,202.37645508458044
2025-10-07,202.050003051758,202.31871453342052
2025-10-08,203.850006103516,202.33523219674038
2025-10-09,203.949996948242,202.43752039433525
