"Date","STOXX50_Close"
2008-01-03,4333.419921875
2008-01-04,4270.52978515625
2008-01-07,4283.3701171875
2008-01-08,4295.22998046875
2008-01-09,4258.31982421875
2008-01-10,4237.6201171875
2008-01-11,4225.31005859375
2008-01-14,4236.68017578125
2008-01-15,4140.93994140625
2008-01-16,4108.33984375
2008-01-17,4065.76000976562
2008-01-18,3995.169921875
2008-01-21,3703.05004882812
2008-01-22,3753.67993164062
2008-01-23,3577.98999023438
2008-01-24,3809.07006835938
2008-01-25,3777.06005859375
2008-01-28,3765.40991210938
2008-01-29,3810.01000976562
2008-01-30,3789.31005859375
2008-01-31,3792.80004882812
2008-02-01,3867.46997070312
2008-02-04,3867.15991210938
2008-02-05,3717.080078125
2008-02-06,3760.1201171875
2008-02-07,3699.2900390625
2008-02-08,3701.169921875
2008-02-11,3678.15991210938
2008-02-12,3803.76000976562
2008-02-13,3803.2099609375
2008-02-14,3797.88989257812
2008-02-15,3719.28002929688
2008-02-18,3759.1201171875
2008-02-19,3805.27001953125
2008-02-20,3758.46997070312
2008-02-21,3778.2099609375
2008-02-22,3737.11010742188
2008-02-25,3798.98999023438
2008-02-26,3855.03002929688
2008-02-27,3856.68994140625
2008-02-28,3784.27001953125
2008-02-29,3724.5
2008-03-03,3675.51000976562
2008-03-04,3610.19995117188
2008-03-05,3684.5400390625
2008-03-06,3617.67993164062
2008-03-07,3576.67993164062
2008-03-10,3546.10009765625
2008-03-11,3606.59008789062
2008-03-12,3647.63989257812
2008-03-13,3599.580078125
2008-03-14,3566.59008789062
2008-03-17,3431.82006835938
2008-03-18,3558.65991210938
2008-03-19,3529.5400390625
2008-03-20,NA
2008-03-25,3632.59008789062
2008-03-26,3611.44995117188
2008-03-27,3652.11010742188
2008-03-28,3641.05004882812
2008-03-31,3628.06005859375
2008-04-01,3753.55004882812
2008-04-02,3797.89990234375
2008-04-03,3774.93994140625
2008-04-04,3795.19995117188
2008-04-07,3828.4599609375
2008-04-08,3810.51000976562
2008-04-09,3775.92993164062
2008-04-10,3758.05004882812
2008-04-11,3699.98999023438
2008-04-14,3671.28002929688
2008-04-15,3690.75
2008-04-16,3748.56005859375
2008-04-17,3725.22998046875
2008-04-18,3808.59008789062
2008-04-21,3769.88989257812
2008-04-22,3736.1201171875
2008-04-23,3763.55004882812
2008-04-24,3761.9599609375
2008-04-25,3794.38989257812
2008-04-28,3814.76000976562
2008-04-29,3793.6298828125
2008-04-30,3825.02001953125
2008-05-02,3877.5
2008-05-05,3872.14990234375
2008-05-06,3845.080078125
2008-05-07,3871.78002929688
2008-05-08,3855.86010742188
2008-05-09,3801.59008789062
2008-05-13,3817.07006835938
2008-05-14,3857.4599609375
2008-05-15,3854.86010742188
2008-05-16,3862.90991210938
2008-05-19,3882.28002929688
2008-05-20,3822.31005859375
2008-05-21,3794.1298828125
2008-05-22,3793.03002929688
2008-05-23,3725.82006835938
2008-05-26,3724.89990234375
2008-05-27,3711.03002929688
2008-05-28,3743.17993164062
